,Puntledge Summer,Nanaimo Summer,Qualicum Fall,Puntledge Fall,Nanaimo Fall,Englishman Fall,Little Q Fall,Cowichan Fall,Lang Creek
1980,,,,,,,,,
1981,,,,,,,,,
1982,,,,,,,,,
1983,,,,,,,,,
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,13080,
1989,,,,,,,,8934,
1990,,,,,,,,23604,117
1991,,,,,,,,12175,238
1992,,,,,,,,14611,327
1993,,,,,,,,13343,850
1994,,,,,,,,20505,685
1995,,,,,,,,25614,393
1996,,,,,,,,21814,886
1997,,,,,,,,13774,229
1998,,,,,,,,10197,532
1999,,,,,,,,7945,876
2000,,,,,,,,8380,894
2001,,,,,,,,7678,1248
2002,,,,,,,,7298,770
2003,,,,,,,,6017,1839
2004,907,323,7081,10864,2450,,4290,4568,1417
2005,3206,430,9526,8741,2920,950,3834,4298,1335
2006,1432,1001,13622,15605,5305,590,,3035,647
2007,1587,370,10254,8140,4522,231,6867,3865,414
2008,602,833,6621,4682,4096,370,4436,2661,1147
2009,2034,349,9406,6272,2549,,4800,1571,1017
2010,1430,784,7928,4756,3241,1619,3560,4936,1401
2011,1157,1125,7331,5506,5207,1326,3829,5756,1659
2012,516,820,5253,3171,1714,218,2526,6330,352
2013,761,839,4866,3469,4148,855,4116,7204,1304
2014,1229,997,8388,5978,2169,1249,3959,5873,1728
2015,596,593,6631,7925,5023,1242,2434,7719,1284
2016,579,,5005,8183,4964,464,5641,10725,642
2017,1017,960,6882,12405,4211,1253,7072,26437,470
2018,820,461,6336,10675,4074,763,4411,22534,197
2019,645,267,9681,17045,5142,1739,10250,21583,1739
2020,489,722,12274,9851,7016,907,10360,24838,1276
2021,517,992,10661,11213,7948,744,10074,23745,1836
2022,410,390,10060,6693,15074,209,9359,28612,195
