stock_group,population,comments,mean_yday_gsi,mean_date_gsi,n_gsi,sd_gsi,mean_yday_cwt,mean_date_cwt,n_cwt,sd_cwt
fall,Harrison ,"Chilliwack, Stave, Allouette, Coquitlam-genetically similar introductions",266,23-Sep,7464,13.8,272,29-Sep,154,12.8
spring_42,Bessette Cr,,210,29-Jul,154,16.4,,,,
spring_42,Bonaparte R,,173,22-Jun,20,23.8,162,11-Jun,10,7.1
spring_42,Coldwater R,,160,9-Jun,32,37.6,122,2-May,11,29.1
spring_42,Deadman R,,180,29-Jun,79,25.9,181,30-Jun,1,
spring_42,Louis Cr,,140,20-May,3,26.4,,,,
spring_42,Nicola R,,181,30-Jun,67,17.5,171,20-Jun,77,19.3
spring_42,Spius Cr,,158,7-Jun,21,39,111,21-Apr,8,11.8
spring_52,Baezaeko R,,176,25-Jun,43,21.9,165,14-Jun,3,16.6
spring_52,Baker Cr,,169,18-Jun,9,30.8,,,,
spring_52,Birkenhead R,,103,13-Apr,75,10,107,17-Apr,5,10.2
spring_52,Blue R,,196,15-Jul,58,10.2,,,,
spring_52,Bowron R,,182,1-Jul,178,16.7,178,27-Jun,13,11.1
spring_52,Bridge R,,197,16-Jul,17,14.9,188,7-Jul,7,8.5
spring_52,cariboo_upper,Upper,190,9-Jul,84,19.7,175,24-Jun,13,11.3
spring_52,Chilako R,,160,9-Jun,31,48.5,,,,
spring_52,chilcotin_lower,,183,2-Jul,90,18.6,172,21-Jun,6,15.5
spring_52,chilcotin_upper,,145,25-May,35,34.6,,,,
spring_52,Cottonwood R,,141,21-May,64,18.5,,,,
spring_52,Dome Cr,,175,24-Jun,16,11.2,168,17-Jun,65,10.5
spring_52,Duteau Cr,,208,27-Jul,17,23.1,,,,
spring_52,Eagle R,,184,3-Jul,45,13.8,181,30-Jun,31,13.6
spring_52,Elkin Cr,,204,23-Jul,17,23.1,,,,
spring_52,Endako R,,175,24-Jun,3,50.1,,,,
spring_52,Finn Cr,,194,13-Jul,48,14.9,184,3-Jul,7,14.5
spring_52,Fontoniko Cr,,169,18-Jun,35,13,167,16-Jun,3,9.6
spring_52,fraser_tj,@ Tete Jaune Cache,187,6-Jul,194,14.4,,,,
spring_52,Goat R,,178,27-Jun,6,14.1,,,,
spring_52,Herrick Cr,,203,22-Jul,15,10.2,,,,
spring_52,Holmes R,,180,29-Jun,118,16.7,,,,
spring_52,Horsefly R,,179,28-Jun,5,4.1,173,22-Jun,2,18.4
spring_52,Horsey Cr,,168,17-Jun,13,15.2,,,,
spring_52,Indianpoint Cr,,192,11-Jul,38,10.2,,,,
spring_52,James Cr,,177,26-Jun,26,25.3,176,25-Jun,3,5.3
spring_52,Kenneth Cr,,189,8-Jul,11,16.3,,,,
spring_52,Kuzkwa R,,203,22-Jul,4,19.6,,,,
spring_52,Lemieux Cr,,213,1-Aug,14,29.8,,,,
spring_52,mc_gregor,,178,27-Jun,75,11.3,,,,
spring_52,Morkill R,,185,4-Jul,130,17.5,,,,
spring_52,Nazko R,,158,7-Jun,105,35.1,158,7-Jun,2,41
spring_52,Nevin Cr,,178,27-Jun,25,18.1,,,,
spring_52,Ptarmigan Cr,,180,29-Jun,21,21.4,,,,
spring_52,salmon_pg,,164,13-Jun,54,15,154,3-Jun,3,17.1
spring_52,Slim Cr,,186,5-Jul,421,12.2,175,24-Jun,4,5.6
spring_52,Swift Cr,,180,29-Jun,13,15.8,126,6-May,3,19.3
spring_52,Torpy R,,174,23-Jun,139,15.4,,,,
spring_52,pitt,,207,26-Jul,22,21.6,,,,
spring_52,Walker Cr,,191,10-Jul,12,23.2,,,,
spring_52,west_road,,157,6-Jun,35,42.5,170,19-Jun,32,11.7
spring_52,Willow R,,178,27-Jun,30,18.1,165,14-Jun,9,11.7
summer_41,lower_adams,Lower,234,22-Aug,510,11,,,,
summer_41,upper_adams,Upper,204,23-Jul,178,13.8,,,,
summer_41,little_river,,236,24-Aug,3165,12.1,,,,
summer_41,maria_slough,,228,16-Aug,55,11.7,216,4-Aug,3,3.5
summer_41,Seymour R,,183,2-Jul,9,15.4,,,,
summer_41,lower_shuswap,,209,28-Jul,1338,18.2,212,31-Jul,162,17
summer_41,middle_shuswap,,203,22-Jul,121,15.8,186,5-Jul,52,15.4
summer_41,south_thompson,,237,25-Aug,2436,11.6,,,,
summer_41,Thompson R,,237,25-Aug,3080,11.2,,,,
summer_52,Barriere R,,215,3-Aug,36,18,,,,
summer_52,big_silver,,239,27-Aug,40,17.7,,,,
summer_52,cariboo_lower,,220,8-Aug,107,16.5,,,,
summer_52,Chilko R,,198,17-Jul,652,15.5,193,12-Jul,6,11.8
summer_52,Clearwater R,,214,2-Aug,649,15.5,211,30-Jul,29,16.3
summer_52,Mahood R,,249,6-Sep,1,,,,,
summer_52,Nechako R,,207,26-Jul,697,15.9,,,,
summer_52,north_thompson,,213,1-Aug,275,18.3,191,10-Jul,5,14.1
summer_52,Portage R,,271,28-Sep,12,16.5,,,,
summer_52,Quesnel R,,229,17-Aug,480,14.2,221,9-Aug,19,22.3
summer_52,Raft R,,202,21-Jul,133,12.9,191,10-Jul,35,16.9
summer_52,salmon_st,,196,15-Jul,13,22.3,177,26-Jun,4,21.6
summer_52,Sloquet Cr,,209,28-Jul,3,13.9,,,,
summer_52,Stuart R,,206,25-Jul,297,12.9,195,14-Jul,17,8
summer_52,Taseko R,,189,8-Jul,38,30.7,,,,
