README: pasted from RunSize_Adj SBC plus SUS for SRKW paper Oct2024.xlsx generated by W Luedke,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,FR Spring 5.2,FR Summer 5.2,FR Spring 4.2,FR Summer 4.1,     FR Fall,"LOWER GST (A17-19,28,29)",UPPER GST (A13-16),JST (A12),NWVI Fall (A25-27),SWVI Fall (A20-24),Columbia River spring,CR summ,CR fall,Willapa,Grays H Spring,Grays H fall,Queets,Hoh S/S,Hoh fall,Quillayute S/S,Quillayute fall,Hoko S/F,Juan de Fuca,Nooksack-Samish,Skagit,Hood Canal,Stillaquamish-Snohomish,South Puget Sound
1981-1985,33490.2,29709.6,9721.8,27877.2,123475.2,,,,,132102.8079,163660,16709,306886,14906,963,5973,6282,2073,3764,1164,8525,,2448,110474,21694,14424,17585,59987
1986-1990,55458.6,41659.4,10642.4,49358,121330,,,,26993.23286,137352.078,232001,21036,601513,47805,2024,38522,11538,4300,6907,4341,18383,,6353,79183,17508,23476,14205,105961
1991-1995,51859,39379.6,19240.4,46144,119906.4,,,,40281.07771,189645.4424,149241,12984,238127,50981,1675,34728,6219,2008,3655,3202,6733,778,2879,30213,10733,8162,12601,79131
1996-2000,41075.8,50610.6,25329.4,88359.4,171931.2,,,,43299.2,74741.95863,145344,17957,291417,26363,3447,24426,4659,1727,3636,1857,6566,1231,3497,36186,11178,16271,23035,87256
2001-2005,48617.2,50963,32769.6,118011.2,201076.8,,,,50904.54882,128276.6448,406690,70287,705342,27803,3332,24968,6115,2091,4505,2717,8209,804,4152,37333,18542,35668,19658,108642
2006-2010,27279.2,34200.4,11501.6,156263,120590.2,,,,34549.20929,86470.12567,256667,59227,426258,32392,1884,20469,4400,1240,2947,2530,5996,607,3143,28962,14689,36316,15362,123925
2011,16900,34068,8042,186323,184793,,,,56993.23429,101417.4581,319763,80574,603732,52126,2573,36019,6506,935,2221,2582,6806,1499,4123,33536,9311,62938,11431,85577
2012,16027,19505,15525,75389,68434,,,,27410.06387,55500.3008,295232,58300,512347,31506,1151,25106,6478,1370,3113,2762,6718,620,4254,33727,15852,85610,14031,84059
2013,20683,19872,8516,153112,101164,,,,97409.62848,78342.85949,189865,67603,1244949,35088,2638,19800,4689,1370,3439,3503,6926,976,6394,32902,13057,71785,11754,90946
2014,45191,38097,31477,117008,114259,,,,50257.44875,65844.69681,311641,78254,1142641,40648,1659,19862,5120,1103,2745,2162,7418,1609,6934,25675,12150,25174,11025,45072
2015,30059,47259,14044,225010,143688,,,,83658.97867,106002.5224,420388,126882,1294013,45235,2065,33793,7483,1156,2497,2919,6695,2708,7338,18786,14854,32944,10177,55760
2016,18146,16433,11359,107257,88109,,,,62269.50931,109934.8154,275792,91048,634319,25083,1056,17173,3944,1176,3018,3485,5011,1261,4470,15911,21105,66217,20661,92538
2017,11381,11150,6722,111652,62619,,,,67683.20916,115441.1397,211881,68204,465182,32570,1391,26015,4419,1430,2569,3846,7999,712,4976,25659,13769,100979,26013,154823
2018,13424,10607,3697,75188,79944,,,,34034.78006,139422.6851,177824,42120,275147,26948,526,28337,3115,869,2711,3848,6722,2103,10272,19474,12247,72511,19764,118424
2019,17077,16461,6314,206533,128719,,,,47149.05368,141967.404,110111,34556,364905,21428,984,20381,4320,789,2617,4376,10156,1838,10398,14267,13090,62458,17161,100121
2020,20643,24727,9250,201512,88950,,,,49383.99968,162575.6764,143016,65466,567190,37836,2829,27128,7121,1252,3726,2976,11056,1316,6201,14689,12573,23615,13128,66160
2021,23364,23707,6801,231474,104216,,,,43161.10474,167824.74,153984,56800,471290,36760,2574,19068,5080,993,4000,3160,6900,1165,5545,27905,9128,54600,11146,100487
2022,27360,41977,10700,152352,193043,,,,42752.60564,191552.0371,287414,78494,674662,23521,1348,17430,5487,1086,2454,3953,8258,1386,6641,43000,19186,75791,16287,96389
2023,19105,29556,11934,682042,273288,,,,68522.90132,251342.3524,220154,54722,673700,NA,NA,NA,NA,NA,NA,3894,8062,NA,NA,NA,NA,NA,NA,NA
